SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDRETH1,RIDRETH3,RIDEXMON,RIDEXAGM,DMQMILIZ,DMQADFC,DMDBORN4,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDMARTL,RIDEXPRG,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANGA,DMDHHSIZ,DMDFMSIZ,DMDHHSZA,DMDHHSZB,DMDHHSZE,DMDHRGND,DMDHRAGE,DMDHRBR4,DMDHREDU,DMDHRMAR,DMDHSEDU,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR
82052.0,8.0,2.0,2.0,60.0,,3.0,3.0,2.0,,2.0,,1.0,1.0,,,4.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79,2.0,1.0,60.0,1.0,3.0,1.0,4.0,88111.560425,87383.563964,2.0,113.0,12.0,12.0,
82053.0,8.0,2.0,2.0,43.0,,3.0,3.0,2.0,,2.0,,1.0,1.0,,,4.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,5.397605346934028e-79,1.0,5.397605346934028e-79,1.0,44.0,1.0,4.0,1.0,4.0,91249.402337,91825.174914,2.0,113.0,15.0,15.0,5.0
82055.0,8.0,2.0,1.0,77.0,,3.0,3.0,2.0,,2.0,,1.0,1.0,,,4.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,,3.0,3.0,5.397605346934028e-79,5.397605346934028e-79,2.0,1.0,77.0,1.0,4.0,1.0,3.0,13545.343408,13551.653238,1.0,104.0,77.0,77.0,
82063.0,8.0,2.0,1.0,10.0,,3.0,3.0,1.0,123.0,,,1.0,1.0,,4.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,5.397605346934028e-79,2.0,5.397605346934028e-79,1.0,36.0,1.0,3.0,1.0,5.0,26898.205501,27173.679075,2.0,118.0,77.0,77.0,
82065.0,8.0,2.0,1.0,3.0,,3.0,3.0,1.0,48.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,4.0,3.0,1.0,1.0,5.397605346934028e-79,1.0,42.0,1.0,4.0,1.0,,23439.873852,26635.637555,2.0,115.0,5.0,1.0,5.397605346934028e-79
82066.0,8.0,2.0,2.0,15.0,,3.0,3.0,2.0,183.0,,,1.0,1.0,,8.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,6.0,6.0,1.0,4.0,5.397605346934028e-79,2.0,35.0,1.0,5.0,3.0,,22375.112451,23061.604465,2.0,112.0,6.0,6.0,0.9
82067.0,8.0,2.0,2.0,56.0,,3.0,3.0,2.0,,2.0,,1.0,1.0,,,1.0,3.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,2.0,56.0,1.0,1.0,3.0,,25713.427662,27472.013896,1.0,114.0,2.0,2.0,0.76
82070.0,8.0,2.0,1.0,18.0,,3.0,3.0,2.0,218.0,2.0,,1.0,1.0,,11.0,,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,7.0,7.0,1.0,3.0,5.397605346934028e-79,2.0,50.0,1.0,4.0,1.0,5.0,64335.724934,65854.033382,2.0,107.0,15.0,15.0,5.0
82071.0,8.0,2.0,2.0,16.0,,3.0,3.0,1.0,201.0,,,1.0,1.0,,8.0,,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,5.397605346934028e-79,2.0,5.397605346934028e-79,1.0,54.0,1.0,3.0,1.0,1.0,29527.061308,30976.911469,1.0,108.0,7.0,7.0,1.78
82072.0,8.0,2.0,1.0,14.0,,3.0,3.0,2.0,170.0,,,1.0,1.0,,8.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,7.0,7.0,5.397605346934028e-79,4.0,2.0,2.0,65.0,1.0,3.0,1.0,,26498.191108,26309.336108,1.0,106.0,6.0,6.0,0.67
82073.0,8.0,2.0,1.0,19.0,,3.0,3.0,1.0,237.0,2.0,,1.0,1.0,,13.0,,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,5.397605346934028e-79,1.0,19.0,1.0,3.0,,,33997.724063,35206.351058,2.0,115.0,6.0,6.0,1.54
82074.0,8.0,2.0,2.0,1.0,14.0,3.0,3.0,1.0,15.0,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,3.0,3.0,1.0,5.397605346934028e-79,5.397605346934028e-79,1.0,27.0,2.0,5.0,1.0,5.0,29327.015008,34363.036263,1.0,108.0,5.0,5.0,1.23
82075.0,8.0,2.0,1.0,26.0,,3.0,3.0,2.0,,2.0,,1.0,1.0,,,3.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.397605346934028e-79,5.397605346934028e-79,5.397605346934028e-79,2.0,25.0,1.0,4.0,1.0,3.0,70487.254122,71302.865933,2.0,112.0,9.0,9.0,3.5
